group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Day01.2: ,,,,,994882.0,ns,12
Day01.2: ,,,,,1960900.0,ns,24
Day01.2: ,,,,,2937036.0,ns,36
Day01.2: ,,,,,3904661.0,ns,48
Day01.2: ,,,,,4907746.0,ns,60
Day01.2: ,,,,,6184140.0,ns,72
Day01.2: ,,,,,6872255.0,ns,84
Day01.2: ,,,,,7811980.0,ns,96
Day01.2: ,,,,,8791067.0,ns,108
Day01.2: ,,,,,9813808.0,ns,120
Day01.2: ,,,,,10773668.0,ns,132
Day01.2: ,,,,,11734151.0,ns,144
Day01.2: ,,,,,12734305.0,ns,156
Day01.2: ,,,,,13705945.0,ns,168
Day01.2: ,,,,,15074072.0,ns,180
Day01.2: ,,,,,15665369.0,ns,192
Day01.2: ,,,,,16610266.0,ns,204
Day01.2: ,,,,,17640072.0,ns,216
Day01.2: ,,,,,19164573.0,ns,228
Day01.2: ,,,,,19826996.0,ns,240
Day01.2: ,,,,,20965835.0,ns,252
Day01.2: ,,,,,21740154.0,ns,264
Day01.2: ,,,,,22695376.0,ns,276
Day01.2: ,,,,,23623408.0,ns,288
Day01.2: ,,,,,24641182.0,ns,300
Day01.2: ,,,,,25578828.0,ns,312
Day01.2: ,,,,,26859590.0,ns,324
Day01.2: ,,,,,27391611.0,ns,336
Day01.2: ,,,,,28433035.0,ns,348
Day01.2: ,,,,,29599646.0,ns,360
Day01.2: ,,,,,30854908.0,ns,372
Day01.2: ,,,,,32067930.0,ns,384
Day01.2: ,,,,,32860848.0,ns,396
Day01.2: ,,,,,34049742.0,ns,408
Day01.2: ,,,,,34658888.0,ns,420
Day01.2: ,,,,,35733440.0,ns,432
Day01.2: ,,,,,36589054.0,ns,444
Day01.2: ,,,,,37317694.0,ns,456
Day01.2: ,,,,,38715997.0,ns,468
Day01.2: ,,,,,39854337.0,ns,480
Day01.2: ,,,,,40533310.0,ns,492
Day01.2: ,,,,,41719872.0,ns,504
Day01.2: ,,,,,42655986.0,ns,516
Day01.2: ,,,,,43554640.0,ns,528
Day01.2: ,,,,,44481588.0,ns,540
Day01.2: ,,,,,45775131.0,ns,552
Day01.2: ,,,,,47100526.0,ns,564
Day01.2: ,,,,,47707946.0,ns,576
Day01.2: ,,,,,48893536.0,ns,588
Day01.2: ,,,,,49354420.0,ns,600
Day01.2: ,,,,,50796093.0,ns,612
Day01.2: ,,,,,51647112.0,ns,624
Day01.2: ,,,,,52662437.0,ns,636
Day01.2: ,,,,,53576950.0,ns,648
Day01.2: ,,,,,54644393.0,ns,660
Day01.2: ,,,,,55832662.0,ns,672
Day01.2: ,,,,,55998454.0,ns,684
Day01.2: ,,,,,57657782.0,ns,696
Day01.2: ,,,,,58360119.0,ns,708
Day01.2: ,,,,,59590760.0,ns,720
Day01.2: ,,,,,60544746.0,ns,732
Day01.2: ,,,,,61506052.0,ns,744
Day01.2: ,,,,,63149014.0,ns,756
Day01.2: ,,,,,63219718.0,ns,768
Day01.2: ,,,,,64601897.0,ns,780
Day01.2: ,,,,,65765164.0,ns,792
Day01.2: ,,,,,67016130.0,ns,804
Day01.2: ,,,,,67015637.0,ns,816
Day01.2: ,,,,,68462285.0,ns,828
Day01.2: ,,,,,69919387.0,ns,840
Day01.2: ,,,,,70828837.0,ns,852
Day01.2: ,,,,,71847683.0,ns,864
Day01.2: ,,,,,72373769.0,ns,876
Day01.2: ,,,,,73904954.0,ns,888
Day01.2: ,,,,,74622514.0,ns,900
Day01.2: ,,,,,74529107.0,ns,912
Day01.2: ,,,,,75784095.0,ns,924
Day01.2: ,,,,,77640094.0,ns,936
Day01.2: ,,,,,78478382.0,ns,948
Day01.2: ,,,,,79858792.0,ns,960
Day01.2: ,,,,,80137217.0,ns,972
Day01.2: ,,,,,80237822.0,ns,984
Day01.2: ,,,,,82035819.0,ns,996
Day01.2: ,,,,,83008856.0,ns,1008
Day01.2: ,,,,,83349761.0,ns,1020
Day01.2: ,,,,,85265345.0,ns,1032
Day01.2: ,,,,,86505755.0,ns,1044
Day01.2: ,,,,,87113579.0,ns,1056
Day01.2: ,,,,,88178875.0,ns,1068
Day01.2: ,,,,,89059932.0,ns,1080
Day01.2: ,,,,,90718910.0,ns,1092
Day01.2: ,,,,,92129681.0,ns,1104
Day01.2: ,,,,,92651646.0,ns,1116
Day01.2: ,,,,,93498782.0,ns,1128
Day01.2: ,,,,,93953729.0,ns,1140
Day01.2: ,,,,,94596292.0,ns,1152
Day01.2: ,,,,,96104693.0,ns,1164
Day01.2: ,,,,,96375165.0,ns,1176
Day01.2: ,,,,,98009193.0,ns,1188
Day01.2: ,,,,,98485334.0,ns,1200
